season,competition,matchday,date,venue,club,opponent,result,playing_position,minute,at_score,type,goal_assist,player_name,extra_time,penality_time,player_goal_number,opponent_score,club_score,year,month,day,day_name,month_name,season_time,match_periods
02//03,Liga Portugal,6,2002-10-07,H,Sporting CP,Moreirense FC,3:00,LW,34,2:00,Solo run,no assist,ronaldo,False,False,2,0,3,2002,10,7,Monday,October,start,first half
02//03,Liga Portugal,6,2002-10-07,H,Sporting CP,Moreirense FC,3:00,LW,90+5,3:00,Header,Rui Jorge,ronaldo,False,False,3,0,3,2002,10,7,Monday,October,start,plus 90
02//03,Liga Portugal,8,2002-10-26,A,Sporting CP,Boavista FC,1:02,LW,88,1:02,Right-footed shot,Carlos Martins,ronaldo,False,False,2,1,2,2002,10,26,Saturday,October,start,second time
02//03,Taca de Portugal Placard,fourth round,2002-11-24,H,Sporting CP,CD Estarreja,4:01,RW,67,3:00,Left-footed shot,Cesar Prates,ronaldo,False,False,3,1,4,2002,11,24,Sunday,November,middle,second time
02//03,Taca de Portugal Placard,fifth round,2002-12-18,H,Sporting CP,FC Oliveira do Hospital,8:01,RW,13,3:00,Left-footed shot,Rui Jorge,ronaldo,False,False,3,1,8,2002,12,18,Wednesday,December,middle,first half
03//04,Premier League,11,2003-11-01,H,Manchester United,Portsmouth FC,3:00,RW,80,2:00,Direct free kick,no assist,ronaldo,False,False,2,0,3,2003,11,1,Saturday,November,middle,second time
03//04,FA Cup,fifth round,2004-02-14,H,Manchester United,Manchester City,4:02,RW,74,3:00,Right-footed shot,Carlos Martins,ronaldo,False,False,3,2,4,2004,2,14,Saturday,February,middle,second time
03//04,Premier League,29,2004-03-20,H,Manchester United,Tottenham Hotspur,3:00,RW,89,2:00,Right-footed shot,Cesar Prates,ronaldo,False,False,2,0,3,2004,3,20,Saturday,March,end,second time
03//04,Premier League,32,2004-04-10,A,Manchester United,Birmingham City,1:02,RW,60,1:01,Header,Ryan Giggs,ronaldo,False,False,1,1,2,2004,4,10,Saturday,April,end,second time
03//04,Premier League,38,2004-05-15,A,Manchester United,Aston Villa,0:02,RW,4,0:01,Right-footed shot,Ryan Giggs,ronaldo,False,False,1,0,2,2004,5,15,Saturday,May,end,first half
03//04,FA Cup,final,2004-05-22,H,Manchester United,Millwall FC,3:00,RW,44,1:00,Header,Gary Neville,ronaldo,False,False,1,0,3,2004,5,22,Saturday,May,end,first half
04//05,Premier League,16,2004-12-04,H,Manchester United,Southampton FC,3:00,LW,87,3:00,Right-footed shot,Gary Neville,ronaldo,False,False,3,0,3,2004,12,4,Saturday,December,middle,second time
04//05,FA Cup,third round,2005-01-19,A,Manchester United,Exeter City,0:02,LW,9,0:01,Left-footed shot,Paul Scholes,ronaldo,False,False,1,0,2,2005,1,19,Wednesday,January,middle,first half
04//05,Premier League,24,2005-01-22,H,Manchester United,Aston Villa,3:01,LW,8,1:00,Right-footed shot,Louis Saha,ronaldo,False,False,1,1,3,2005,1,22,Saturday,January,middle,first half
04//05,Premier League,25,2005-02-01,A,Manchester United,Arsenal FC,2:04,RW,54,2:02,Left-footed shot,Ryan Giggs,ronaldo,False,False,2,2,4,2005,2,1,Tuesday,February,middle,second time
04//05,Premier League,25,2005-02-01,A,Manchester United,Arsenal FC,2:04,RW,58,2:03,Tap-in,Ryan Giggs,ronaldo,False,False,3,2,4,2005,2,1,Tuesday,February,middle,second time
04//05,FA Cup,fifth round,2005-02-19,A,Manchester United,Everton FC,0:02,RW,58,0:02,Tap-in,Paul Scholes,ronaldo,False,False,2,0,2,2005,2,19,Saturday,February,middle,second time
04//05,FA Cup,sixth round,2005-03-12,A,Manchester United,Southampton FC,0:04,RW,45+1,0:02,Left-footed shot,Ruud van Nistelrooy,ronaldo,False,False,2,0,4,2005,3,12,Saturday,March,end,first half
04//05,Premier League,30,2005-03-19,H,Manchester United,Fulham FC,1:00,RW,21,1:00,Right-footed shot,Roy Keane,ronaldo,False,False,1,0,1,2005,3,19,Saturday,March,end,first half
04//05,FA Cup,semi-finals,2005-04-17,A,Manchester United,Newcastle United,1:04,RW,76,1:04,Right-footed shot,Ruud van Nistelrooy,ronaldo,False,False,4,1,4,2005,4,17,Sunday,April,end,second time
05//06,UEFA Champions League Qualifying,3rd round,2005-08-09,H,Manchester United,Debreceni VSC,3:00,LW,63,3:00,Right-footed shot,Paul Scholes,ronaldo,False,False,3,0,3,2005,8,9,Tuesday,August,start,second time
05//06,Premier League,11,2005-10-29,A,Manchester United,Middlesbrough FC,4:01,RW,90,4:01,Header,Paul Scholes,ronaldo,False,False,1,4,1,2005,10,29,Saturday,October,start,second time
05//06,EFL Cup,round of 16,2005-11-30,H,Manchester United,West Bromwich Albion,3:01,RW,12,1:01,Penalty,no assist,ronaldo,False,False,1,1,3,2005,11,30,Wednesday,November,middle,first half
05//06,Premier League,20,2005-12-31,H,Manchester United,Bolton Wanderers,4:01,RW,68,3:01,Right-footed shot,Wayne Rooney,ronaldo,False,False,3,1,4,2005,12,31,Saturday,December,middle,second time
05//06,Premier League,20,2005-12-31,H,Manchester United,Bolton Wanderers,4:01,RW,90,4:01,Left-footed shot,Ruud van Nistelrooy,ronaldo,False,False,4,1,4,2005,12,31,Saturday,December,middle,second time
05//06,Premier League,25,2006-02-04,H,Manchester United,Fulham FC,4:02,LW,14,2:00,Direct free kick,no assist,ronaldo,False,False,2,2,4,2006,2,4,Saturday,February,middle,first half
05//06,Premier League,25,2006-02-04,H,Manchester United,Fulham FC,4:02,LW,87,4:02,Right-footed shot,Ruud van Nistelrooy,ronaldo,False,False,4,2,4,2006,2,4,Saturday,February,middle,second time
05//06,Premier League,26,2006-02-11,A,Manchester United,Portsmouth FC,1:03,RW,38,0:02,Left-footed shot,Wayne Rooney,ronaldo,False,False,2,1,3,2006,2,11,Saturday,February,middle,first half
05//06,Premier League,26,2006-02-11,A,Manchester United,Portsmouth FC,1:03,RW,45,0:03,Right-footed shot,Wayne Rooney,ronaldo,False,False,3,1,3,2006,2,11,Saturday,February,middle,first half
05//06,EFL Cup,final,2006-02-26,H,Manchester United,Wigan Athletic,4:00,RW,59,3:00,Right-footed shot,Louis Saha,ronaldo,False,False,3,0,4,2006,2,26,Sunday,February,middle,second time
05//06,Premier League,28,2006-03-06,A,Manchester United,Wigan Athletic,1:02,RW,74,1:01,Right-footed shot,Ruud van Nistelrooy,ronaldo,False,False,1,1,2,2006,3,6,Monday,March,end,second time
05//06,Premier League,38,2006-05-07,H,Manchester United,Charlton Athletic,4:00,RW,23,2:00,Left-footed shot,Ryan Giggs,ronaldo,False,False,2,0,4,2006,5,7,Sunday,May,end,first half
06//07,Premier League,1,2006-08-20,H,Manchester United,Fulham FC,5:01,RW,19,4:00,Right-footed shot,Wayne Rooney,ronaldo,False,False,4,1,5,2006,8,20,Sunday,August,start,first half
06//07,Premier League,6,2006-09-23,A,Manchester United,Reading FC,1:01,CF,73,1:01,Right-footed shot,John OShea,ronaldo,False,False,1,1,1,2006,9,23,Saturday,September,start,second time
06//07,Premier League,10,2006-10-28,A,Manchester United,Bolton Wanderers,0:04,RW,82,0:03,Right-footed shot,Louis Saha,ronaldo,False,False,3,0,4,2006,10,28,Saturday,October,start,second time
06//07,Premier League,11,2006-11-04,H,Manchester United,Portsmouth FC,3:00,RW,10,2:00,Direct free kick,no assist,ronaldo,False,False,2,0,3,2006,11,4,Saturday,November,middle,first half
06//07,Premier League,15,2006-11-29,H,Manchester United,Everton FC,3:00,SS,39,1:00,Right-footed shot,Ryan Giggs,ronaldo,False,False,1,0,3,2006,11,29,Wednesday,November,middle,first half
06//07,Premier League,17,2006-12-09,H,Manchester United,Manchester City,3:01,RW,84,3:01,Right-footed shot,Wayne Rooney,ronaldo,False,False,3,1,3,2006,12,9,Saturday,December,middle,second time
06//07,Premier League,19,2006-12-23,A,Manchester United,Aston Villa,0:03,LW,58,0:01,Right-footed shot,Ryan Giggs,ronaldo,False,False,1,0,3,2006,12,23,Saturday,December,middle,second time
06//07,Premier League,19,2006-12-23,A,Manchester United,Aston Villa,0:03,LW,85,0:03,Right-footed shot,Gary Neville,ronaldo,False,False,3,0,3,2006,12,23,Saturday,December,middle,second time
06//07,Premier League,20,2006-12-26,H,Manchester United,Wigan Athletic,3:01,RW,47,1:00,Header,Paul Scholes,ronaldo,False,False,1,1,3,2006,12,26,Tuesday,December,middle,second time
06//07,Premier League,20,2006-12-26,H,Manchester United,Wigan Athletic,3:01,RW,50,2:00,Penalty rebound,no assist,ronaldo,False,False,2,1,3,2006,12,26,Tuesday,December,middle,second time
06//07,Premier League,21,2006-12-30,H,Manchester United,Reading FC,3:02,RW,58,2:01,Right-footed shot,Ole Gunnar Solskjaer,ronaldo,False,False,2,2,3,2006,12,30,Saturday,December,middle,second time
06//07,Premier League,21,2006-12-30,H,Manchester United,Reading FC,3:02,RW,77,3:01,Right-footed shot,Ryan Giggs,ronaldo,False,False,3,2,3,2006,12,30,Saturday,December,middle,second time
06//07,Premier League,23,2007-01-13,H,Manchester United,Aston Villa,3:01,RW,34,3:00,Header,Michael Carrick,ronaldo,False,False,3,1,3,2007,1,13,Saturday,January,middle,first half
06//07,Premier League,25,2007-01-31,H,Manchester United,Watford FC,4:00,RW,12,1:00,Penalty,no assist,ronaldo,False,False,1,0,4,2007,1,31,Wednesday,January,middle,first half
06//07,Premier League,26,2007-02-03,A,Manchester United,Tottenham Hotspur,0:04,RW,45,0:01,Penalty,no assist,ronaldo,False,False,1,0,4,2007,2,3,Saturday,February,middle,first half
06//07,Premier League,28,2007-02-24,A,Manchester United,Fulham FC,1:02,RW,88,1:02,Solo run,no assist,ronaldo,False,False,2,1,2,2007,2,24,Saturday,February,middle,second time
06//07,FA Cup,sixth round,2007-03-10,A,Manchester United,Middlesbrough FC,2:02,RW,68,2:02,Penalty,no assist,ronaldo,False,False,2,2,2,2007,3,10,Saturday,March,end,second time
06//07,FA Cup,6th round,2007-03-19,H,Manchester United,Middlesbrough FC,1:00,LW,76,1:00,Penalty,no assist,ronaldo,False,False,1,0,1,2007,3,19,Monday,March,end,second time
06//07,UEFA Champions League,quarter-finals,2007-04-10,H,Manchester United,AS Roma,7:01,RW,44,4:00,Right-footed shot,Ryan Giggs,ronaldo,False,False,4,1,7,2007,4,10,Tuesday,April,end,first half
06//07,UEFA Champions League,quarter-finals,2007-04-10,H,Manchester United,AS Roma,7:01,RW,49,5:00,Right-footed shot,Ryan Giggs,ronaldo,False,False,5,1,7,2007,4,10,Tuesday,April,end,second time
06//07,FA Cup,semi-finals,2007-04-14,A,Manchester United,Watford FC,1:04,RW,28,1:02,Right-footed shot,Wayne Rooney,ronaldo,False,False,2,1,4,2007,4,14,Saturday,April,end,first half
06//07,UEFA Champions League,semi-finals,2007-04-24,H,Manchester United,AC Milan,3:02,RW,5,1:00,Header,Ryan Giggs,ronaldo,False,False,1,2,3,2007,4,24,Tuesday,April,end,first half
06//07,Premier League,37,2007-05-05,A,Manchester United,Manchester City,0:01,RW,34,0:01,Penalty,no assist,ronaldo,False,False,1,0,1,2007,5,5,Saturday,May,end,first half
07//08,UEFA Champions League,group stage,2007-09-19,A,Manchester United,Sporting CP,0:01,RW,62,0:01,Header,Wes Brown,ronaldo,False,False,1,0,1,2007,9,19,Wednesday,September,start,second time
07//08,Premier League,8,2007-09-29,A,Manchester United,Birmingham City,0:01,RW,51,0:01,Left-footed shot,Ryan Giggs,ronaldo,False,False,1,0,1,2007,9,29,Saturday,September,start,second time
07//08,Premier League,9,2007-10-06,H,Manchester United,Wigan Athletic,4:00,RW,59,2:00,Header,Ryan Giggs,ronaldo,False,False,2,0,4,2007,10,6,Saturday,October,start,second time
07//08,Premier League,9,2007-10-06,H,Manchester United,Wigan Athletic,4:00,RW,76,3:00,Right-footed shot,Wayne Rooney,ronaldo,False,False,3,0,4,2007,10,6,Saturday,October,start,second time
07//08,UEFA Champions League,group stage,2007-10-23,A,Manchester United,Dynamo Kyiv,2:04,RW,41,1:03,Penalty,no assist,ronaldo,False,False,3,2,4,2007,10,23,Tuesday,October,start,first half
07//08,UEFA Champions League,group stage,2007-10-23,A,Manchester United,Dynamo Kyiv,2:04,RW,68,1:04,Header,Ryan Giggs,ronaldo,False,False,4,2,4,2007,10,23,Tuesday,October,start,second time
07//08,Premier League,12,2007-11-03,A,Manchester United,Arsenal FC,2:02,RW,82,1:02,Left-footed shot,Patrice Evra,ronaldo,False,False,2,2,2,2007,11,3,Saturday,November,middle,second time
07//08,UEFA Champions League,group stage,2007-11-07,H,Manchester United,Dynamo Kyiv,4:00,RW,88,4:00,Right-footed shot,Patrice Evra,ronaldo,False,False,4,0,4,2007,11,7,Wednesday,November,middle,second time
07//08,Premier League,13,2007-11-11,H,Manchester United,Blackburn Rovers,2:00,RW,34,1:00,Header,Ryan Giggs,ronaldo,False,False,1,0,2,2007,11,11,Sunday,November,middle,first half
07//08,Premier League,13,2007-11-11,H,Manchester United,Blackburn Rovers,2:00,RW,35,2:00,Right-footed shot,Carlos Tevez,ronaldo,False,False,2,0,2,2007,11,11,Sunday,November,middle,first half
07//08,UEFA Champions League,group stage,2007-11-27,H,Manchester United,Sporting CP,2:01,RW,90+3,2:01,Direct free kick,no assist,ronaldo,False,False,2,1,2,2007,11,27,Tuesday,November,middle,plus 90
07//08,Premier League,15,2007-12-03,H,Manchester United,Fulham FC,2:00,RW,10,1:00,Right-footed shot,Nemanja Vidicâ€Ž,ronaldo,False,False,1,0,2,2007,12,3,Monday,December,middle,first half
07//08,Premier League,15,2007-12-03,H,Manchester United,Fulham FC,2:00,RW,58,2:00,Header,John OShea,ronaldo,False,False,2,0,2,2007,12,3,Monday,December,middle,second time
07//08,Premier League,16,2007-12-08,H,Manchester United,Derby County,4:01,RW,90,4:01,Penalty,no assist,ronaldo,False,False,4,1,4,2007,12,8,Saturday,December,middle,second time
07//08,Premier League,18,2007-12-23,H,Manchester United,Everton FC,2:01,RW,22,1:00,Left-footed shot,Carlos Tevez,ronaldo,False,False,1,1,2,2007,12,23,Sunday,December,middle,first half
07//08,Premier League,18,2007-12-23,H,Manchester United,Everton FC,2:01,RW,87,2:01,Penalty,no assist,ronaldo,False,False,2,1,2,2007,12,23,Sunday,December,middle,second time
07//08,Premier League,19,2007-12-26,A,Manchester United,Sunderland AFC,0:04,RW,45,0:03,Direct free kick,no assist,ronaldo,False,False,3,0,4,2007,12,26,Wednesday,December,middle,first half
07//08,Premier League,20,2007-12-29,A,Manchester United,West Ham United,2:01,RW,14,0:01,Header,Ryan Giggs,ronaldo,False,False,1,2,1,2007,12,29,Saturday,December,middle,first half
07//08,FA Cup,third round,2008-01-05,A,Manchester United,Aston Villa,0:02,RW,81,0:01,Left-footed shot,Ryan Giggs,ronaldo,False,False,1,0,2,2008,1,5,Saturday,January,middle,second time
07//08,Premier League,22,2008-01-12,H,Manchester United,Newcastle United,6:00,RW,48,1:00,Direct free kick,no assist,ronaldo,False,False,1,0,6,2008,1,12,Saturday,January,middle,second time
07//08,Premier League,22,2008-01-12,H,Manchester United,Newcastle United,6:00,RW,70,3:00,Right-footed shot,Carlos Tevez,ronaldo,False,False,3,0,6,2008,1,12,Saturday,January,middle,second time
07//08,Premier League,22,2008-01-12,H,Manchester United,Newcastle United,6:00,RW,88,5:00,Left-footed shot,Ryan Giggs,ronaldo,False,False,5,0,6,2008,1,12,Saturday,January,middle,second time
